"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","INDPROD","TOT","IDX2010","A","1974",83.48667,
"FRA","INDPROD","TOT","IDX2010","A","1975",76.28722,
"FRA","INDPROD","TOT","IDX2010","A","1976",83.3909,
"FRA","INDPROD","TOT","IDX2010","A","1977",84.91192,
"FRA","INDPROD","TOT","IDX2010","A","1978",86.82163,
"FRA","INDPROD","TOT","IDX2010","A","1979",90.56219,
"FRA","INDPROD","TOT","IDX2010","A","1980",89.62316,
"FRA","INDPROD","TOT","IDX2010","A","1981",88.68404,
"FRA","INDPROD","TOT","IDX2010","A","1982",87.97029,
"FRA","INDPROD","TOT","IDX2010","A","1983",88.0304,
"FRA","INDPROD","TOT","IDX2010","A","1984",89.54803,
"FRA","INDPROD","TOT","IDX2010","A","1985",89.76807,
"FRA","INDPROD","TOT","IDX2010","A","1986",92.0471,
"FRA","INDPROD","TOT","IDX2010","A","1987",93.65533,
"FRA","INDPROD","TOT","IDX2010","A","1988",96.99217,
"FRA","INDPROD","TOT","IDX2010","A","1989",100.3548,
"FRA","INDPROD","TOT","IDX2010","A","1990",110.6409,"B"
"FRA","INDPROD","TOT","IDX2010","A","1991",109.2992,
"FRA","INDPROD","TOT","IDX2010","A","1992",106.7301,
"FRA","INDPROD","TOT","IDX2010","A","1993",101.9367,
"FRA","INDPROD","TOT","IDX2010","A","1994",104.4517,
"FRA","INDPROD","TOT","IDX2010","A","1995",106.7659,
"FRA","INDPROD","TOT","IDX2010","A","1996",105.1334,
"FRA","INDPROD","TOT","IDX2010","A","1997",108.2526,
"FRA","INDPROD","TOT","IDX2010","A","1998",110.8884,
"FRA","INDPROD","TOT","IDX2010","A","1999",111.6359,
"FRA","INDPROD","TOT","IDX2010","A","2000",114.396,
"FRA","INDPROD","TOT","IDX2010","A","2001",114.1126,
"FRA","INDPROD","TOT","IDX2010","A","2002",111.4959,
"FRA","INDPROD","TOT","IDX2010","A","2003",109.7101,
"FRA","INDPROD","TOT","IDX2010","A","2004",111.8618,
"FRA","INDPROD","TOT","IDX2010","A","2005",111.4676,
"FRA","INDPROD","TOT","IDX2010","A","2006",112.3968,
"FRA","INDPROD","TOT","IDX2010","A","2007",113.6793,
"FRA","INDPROD","TOT","IDX2010","A","2008",110.3434,
"FRA","INDPROD","TOT","IDX2010","A","2009",95.82996,
"FRA","INDPROD","TOT","IDX2010","A","2010",100,
"FRA","INDPROD","TOT","IDX2010","A","2011",102.6017,
"FRA","INDPROD","TOT","IDX2010","A","2012",100.2767,
"FRA","INDPROD","TOT","IDX2010","A","2013",99.48666,
"FRA","INDPROD","TOT","IDX2010","A","2014",98.60915,
"FRA","INDPROD","TOT","IDX2010","A","2015",100.3508,
"FRA","INDPROD","TOT","IDX2010","A","2016",100.8292,
"DEU","INDPROD","TOT","IDX2010","A","1974",61.22932,
"DEU","INDPROD","TOT","IDX2010","A","1975",57.42832,
"DEU","INDPROD","TOT","IDX2010","A","1976",61.29565,
"DEU","INDPROD","TOT","IDX2010","A","1977",62.89258,
"DEU","INDPROD","TOT","IDX2010","A","1978",63.99972,
"DEU","INDPROD","TOT","IDX2010","A","1979",67.22247,
"DEU","INDPROD","TOT","IDX2010","A","1980",67.21671,
"DEU","INDPROD","TOT","IDX2010","A","1981",65.98872,
"DEU","INDPROD","TOT","IDX2010","A","1982",63.84406,
